Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,10001.0,7256.0,2200.0,0.9745454545454545,0.38072633743286133,0.3586442470550537,0.3750884532928467,0.0015478134155273438,1.0
15.0,10001.0,8658.0,1255.0,0.950597609561753,0.3896028995513916,0.5155014991760254,0.4459505081176758,0.0006182193756103516,1.0
30.0,10001.0,7463.0,1207.0,0.9602319801159901,0.37064695358276367,0.6370730400085449,0.3852396011352539,0.0006356239318847656,1.0
45.0,10001.0,6995.0,1296.0,0.9529320987654321,0.3792440891265869,0.6993634700775146,0.3613243103027344,0.0010564327239990234,1.0
60.0,10001.0,7024.0,1267.0,0.9605367008681925,0.34961748123168945,0.6647982597351074,0.36469578742980957,0.00074005126953125,1.0
75.0,10001.0,8579.0,1271.0,0.966168371361133,0.38901805877685547,0.5199916362762451,0.4450500011444092,0.0008754730224609375,1.0
90.0,10001.0,7226.0,1693.0,0.9657412876550502,0.3732125759124756,0.3378603458404541,0.37207484245300293,0.0009665489196777344,1.0
105.0,10001.0,8610.0,1221.0,0.9606879606879607,0.3686251640319824,0.5025126934051514,0.4457972049713135,0.0011227130889892578,1.0
120.0,10001.0,7480.0,1240.0,0.95,0.3505735397338867,0.6607751846313477,0.3958587646484375,0.0006220340728759766,1.0
135.0,10001.0,6998.0,1231.0,0.9293257514216084,0.39735960960388184,0.6883032321929932,0.3602631092071533,0.0007536411285400391,1.0
150.0,10001.0,6987.0,1146.0,0.9581151832460733,0.353229284286499,0.6262972354888916,0.36782360076904297,0.0006320476531982422,1.0
165.0,10001.0,8608.0,1260.0,0.9666666666666667,0.3804891109466553,0.4809746742248535,0.44454455375671387,0.0006189346313476562,1.0
180.0,10001.0,7189.0,1967.0,0.9725470259278088,0.41271090507507324,0.33007001876831055,0.3708305358886719,0.0009260177612304688,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,10001,7256,2200,0.9745454545454545,0.38955116271972656,0.32140254974365234,0.3812744617462158,0.0013599395751953125,1
1.5,10001,10656,789,0.9024081115335868,0.41664791107177734,0.8338444232940674,0.552997350692749,0.0004582405090332031,1
2.0,10001,15353,1140,0.8982456140350877,0.38527703285217285,1.500354528427124,0.801321268081665,0.000583648681640625,1
2.5,10001,17358,256,0.7890625,0.3860454559326172,2.3159408569335938,0.9013066291809082,0.00028586387634277344,1
3.0,10001,18237,626,0.8258785942492013,0.36800503730773926,3.398988962173462,0.9478585720062256,0.0003879070281982422,1
3.5,10001,20444,174,0.6551724137931034,0.3997979164123535,4.587299585342407,1.059006929397583,0.0004260540008544922,1
4.0,10001,23123,843,0.8991696322657177,0.3988683223724365,6.016117334365845,1.2003073692321777,0.0004658699035644531,1
4.5,10001,23338,238,0.6386554621848739,0.4049525260925293,7.715684175491333,1.2094414234161377,0.00048065185546875,1
5.0,10001,25227,280,0.6321428571428571,0.3949241638183594,9.475296974182129,1.3076379299163818,0.00043010711669921875,1
