Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1562.0,1640.0,609.0,0.9277504105090312,0.025744199752807617,0.026583194732666016,0.005259275436401367,0.0004143714904785156,1.0
15.0,1562.0,2227.0,270.0,0.7777777777777778,0.026540040969848633,0.03736114501953125,0.006649494171142578,0.00029850006103515625,1.0
30.0,1562.0,3283.0,296.0,0.7162162162162162,0.027593374252319336,0.05153465270996094,0.009737253189086914,0.0003402233123779297,1.0
45.0,1562.0,1906.0,259.0,0.7644787644787645,0.026076078414916992,0.034201860427856445,0.005692958831787109,0.00030517578125,1.0
60.0,1562.0,3402.0,313.0,0.6485623003194888,0.02690911293029785,0.052483558654785156,0.01033782958984375,0.0004544258117675781,1.0
75.0,1562.0,2219.0,286.0,0.6958041958041958,0.026707172393798828,0.03657412528991699,0.008327245712280273,0.00035572052001953125,1.0
90.0,1562.0,1674.0,409.0,0.8948655256723717,0.02662801742553711,0.02752995491027832,0.005078792572021484,0.0003058910369873047,1.0
105.0,1562.0,2254.0,273.0,0.7802197802197802,0.025806427001953125,0.03649449348449707,0.0066263675689697266,0.0002887248992919922,1.0
120.0,1562.0,3401.0,279.0,0.7060931899641577,0.025815725326538086,0.05442070960998535,0.01000213623046875,0.00043463706970214844,1.0
135.0,1562.0,1878.0,262.0,0.816793893129771,0.02659320831298828,0.0328373908996582,0.005603313446044922,0.00029850006103515625,1.0
150.0,1562.0,3469.0,327.0,0.6513761467889908,0.026769638061523438,0.05397963523864746,0.01028585433959961,0.0004494190216064453,1.0
165.0,1562.0,2200.0,253.0,0.7984189723320159,0.026602506637573242,0.03792285919189453,0.007680654525756836,0.0004088878631591797,1.0
180.0,1562.0,1700.0,366.0,0.8360655737704918,0.027625322341918945,0.02975916862487793,0.0051479339599609375,0.0003306865692138672,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1562,1640,609,0.9277504105090312,0.025692224502563477,0.027376413345336914,0.005395650863647461,0.00037097930908203125,1
1.5,1562,2184,267,0.7677902621722846,0.026947736740112305,0.04181241989135742,0.00780797004699707,0.00035119056701660156,1
2.0,1562,2788,355,0.8873239436619719,0.026146650314331055,0.05359768867492676,0.008403778076171875,0.00030612945556640625,1
2.5,1562,3191,232,0.8663793103448276,0.026897668838500977,0.06667852401733398,0.01062321662902832,0.00034737586975097656,1
3.0,1562,3363,296,0.8412162162162162,0.026148557662963867,0.07349872589111328,0.009911298751831055,0.00028204917907714844,1
3.5,1562,3100,198,0.797979797979798,0.026416778564453125,0.0909879207611084,0.009192228317260742,0.00028705596923828125,1
4.0,1562,3101,235,0.825531914893617,0.02657628059387207,0.09059858322143555,0.009268045425415039,0.0002601146697998047,1
4.5,1562,3154,187,0.8342245989304813,0.026514530181884766,0.10711264610290527,0.009328365325927734,0.00024199485778808594,1
5.0,1562,3130,178,0.8146067415730337,0.027153491973876953,0.10627627372741699,0.009238004684448242,0.00023293495178222656,1
