Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1387.0,1725.0,393.0,0.7251908396946565,0.18999886512756348,0.2954697608947754,0.004698991775512695,0.0004286766052246094,1.0
15.0,1387.0,1968.0,324.0,0.6944444444444444,0.1836409568786621,0.5109250545501709,0.006726741790771484,0.0005867481231689453,1.0
30.0,1387.0,2053.0,336.0,0.6577380952380952,0.18573474884033203,0.6113786697387695,0.0059316158294677734,0.0004169940948486328,1.0
45.0,1387.0,1823.0,317.0,0.6656151419558359,0.1780233383178711,0.6270022392272949,0.0046236515045166016,0.0004382133483886719,1.0
60.0,1387.0,2135.0,327.0,0.6483180428134556,0.18268251419067383,0.6222293376922607,0.005335330963134766,0.0004470348358154297,1.0
75.0,1387.0,1830.0,321.0,0.6791277258566978,0.17878937721252441,0.5022225379943848,0.004569053649902344,0.0003781318664550781,1.0
90.0,1387.0,1733.0,376.0,0.6808510638297872,0.12216854095458984,0.29792046546936035,0.0043201446533203125,0.0004227161407470703,1.0
105.0,1387.0,1969.0,328.0,0.6798780487804879,0.12615251541137695,0.4196028709411621,0.005244255065917969,0.00039505958557128906,1.0
120.0,1387.0,2062.0,334.0,0.6526946107784432,0.16550683975219727,0.5780658721923828,0.005173444747924805,0.0004127025604248047,1.0
135.0,1387.0,1828.0,315.0,0.638095238095238,0.18223166465759277,0.6134908199310303,0.004862308502197266,0.0004477500915527344,1.0
150.0,1387.0,2128.0,325.0,0.6369230769230769,0.1799921989440918,0.5904836654663086,0.00532841682434082,0.00046825408935546875,1.0
165.0,1387.0,1817.0,308.0,0.6915584415584416,0.1843430995941162,0.49950480461120605,0.0045318603515625,0.0003952980041503906,1.0
180.0,1387.0,1727.0,388.0,0.7216494845360825,0.17865419387817383,0.31591343879699707,0.0051670074462890625,0.0003726482391357422,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1387,1725,393,0.7251908396946565,0.1366593837738037,0.3084392547607422,0.0054950714111328125,0.00046896934509277344,1
1.5,1387,3445,357,0.49859943977591037,0.17117786407470703,0.7289204597473145,0.00872349739074707,0.0009171962738037109,1
2.0,1387,5361,310,0.3419354838709677,0.16056108474731445,1.4088129997253418,0.01301121711730957,0.004445791244506836,1
2.5,1387,7118,305,0.3016393442622951,0.16447925567626953,2.2874948978424072,0.018872737884521484,0.0061359405517578125,1
3.0,1387,8787,294,0.3197278911564626,0.18915367126464844,3.375596523284912,0.020755290985107422,0.004582405090332031,1
3.5,1387,10358,286,0.16083916083916083,0.18015456199645996,4.579135179519653,0.024327993392944336,0.01857757568359375,-1
4.0,1387,11720,302,0.24834437086092714,0.17168331146240234,5.879111051559448,0.02704930305480957,0.01359105110168457,1
4.5,1387,13059,320,0.2125,0.17554998397827148,7.470909357070923,0.03357076644897461,0.018968820571899414,-1
5.0,1387,13930,304,0.22039473684210525,0.19075989723205566,9.133800506591797,0.03218483924865723,0.018641233444213867,1
