Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,3881.0,4137.0,1698.0,0.8833922261484098,0.013674497604370117,0.14998078346252441,0.025329113006591797,0.0010128021240234375,1.0
15.0,3881.0,5791.0,979.0,0.7293156281920327,0.013191938400268555,0.0175931453704834,0.038469552993774414,0.0006866455078125,1.0
30.0,3881.0,8395.0,1049.0,0.6835081029551954,0.011562108993530273,0.02411675453186035,0.05708026885986328,0.0006508827209472656,1.0
45.0,3881.0,5526.0,910.0,0.6868131868131868,0.011473894119262695,0.023467063903808594,0.03657841682434082,0.0006308555603027344,1.0
60.0,3881.0,8354.0,1001.0,0.7002997002997003,0.011387825012207031,0.02429676055908203,0.05501151084899902,0.0006597042083740234,1.0
75.0,3881.0,5761.0,946.0,0.7008456659619451,0.012648820877075195,0.019473552703857422,0.035605669021606445,0.0007047653198242188,1.0
90.0,3881.0,4148.0,1362.0,0.856093979441997,0.011871337890625,0.013399839401245117,0.02546548843383789,0.0007421970367431641,1.0
105.0,3881.0,5780.0,955.0,0.749738219895288,0.011681795120239258,0.020113468170166016,0.042376041412353516,0.0006804466247558594,1.0
120.0,3881.0,8468.0,1036.0,0.722007722007722,0.012202978134155273,0.024532556533813477,0.05724453926086426,0.0014488697052001953,1.0
135.0,3881.0,5602.0,928.0,0.7316810344827587,0.013821601867675781,0.022305011749267578,0.03812456130981445,0.0007376670837402344,1.0
150.0,3881.0,8389.0,1051.0,0.6707897240723121,0.011092901229858398,0.026579618453979492,0.049698591232299805,0.0008320808410644531,1.0
165.0,3881.0,5734.0,981.0,0.7166156982670744,0.014425516128540039,0.02016592025756836,0.03883790969848633,0.000644683837890625,1.0
180.0,3881.0,4158.0,1243.0,0.7779565567176187,0.014365911483764648,0.012159109115600586,0.0350344181060791,0.00079345703125,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,3881,4137,1698,0.8833922261484098,0.016211986541748047,0.014703035354614258,0.028252363204956055,0.0010075569152832031,1
1.5,3881,6319,848,0.7511792452830188,0.013361454010009766,0.03313279151916504,0.041591644287109375,0.0006380081176757812,1
2.0,3881,8518,689,0.7692307692307693,0.011933565139770508,0.04254412651062012,0.05349135398864746,0.0004334449768066406,1
2.5,3881,10581,577,0.7694974003466204,0.01759815216064453,0.05712437629699707,0.0651402473449707,0.0004119873046875,1
3.0,3881,12254,428,0.75,0.012198209762573242,0.05474853515625,0.07613563537597656,0.0005586147308349609,1
3.5,3881,13364,270,0.6851851851851852,0.011278152465820312,0.0676429271697998,0.08060193061828613,0.00035572052001953125,1
4.0,3881,14101,180,0.5888888888888889,0.011138677597045898,0.07312250137329102,0.08402061462402344,0.0004665851593017578,1
4.5,3881,14617,61,0.26229508196721313,0.011197805404663086,0.08537745475769043,0.08842778205871582,0.009723901748657227,1
5.0,3881,14898,55,0.10909090909090909,0.011088132858276367,0.097625732421875,0.09099388122558594,0.018886566162109375,-1
