Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1423.0,1065.0,381.0,0.9816272965879265,0.7217509746551514,0.993354320526123,0.0047953128814697266,0.0003044605255126953,1.0
15.0,1423.0,1192.0,327.0,0.9908256880733946,0.7422053813934326,1.2168731689453125,0.005736112594604492,0.00026988983154296875,1.0
30.0,1423.0,1169.0,300.0,0.99,0.7250380516052246,1.371267557144165,0.005587577819824219,0.00026869773864746094,1.0
45.0,1423.0,1178.0,281.0,0.9893238434163701,0.7103281021118164,1.4612078666687012,0.0054285526275634766,0.0002791881561279297,1.0
60.0,1423.0,1181.0,297.0,0.98989898989899,0.7204556465148926,1.306854248046875,0.006083011627197266,0.0002639293670654297,1.0
75.0,1423.0,1180.0,270.0,0.9814814814814815,0.6844496726989746,1.1273822784423828,0.005583763122558594,0.0002601146697998047,1.0
90.0,1423.0,1059.0,293.0,0.9863481228668942,0.6800596714019775,0.89599609375,0.005334138870239258,0.0002872943878173828,1.0
105.0,1423.0,1224.0,234.0,0.9871794871794872,0.6843605041503906,1.1497883796691895,0.00504755973815918,0.00024175643920898438,1.0
120.0,1423.0,1164.0,202.0,0.9752475247524752,0.737576961517334,1.303497552871704,0.008840084075927734,0.00023984909057617188,1.0
135.0,1423.0,1189.0,197.0,0.9695431472081218,0.7149698734283447,1.4177370071411133,0.005536317825317383,0.0002009868621826172,1.0
150.0,1423.0,1195.0,217.0,0.9631336405529954,0.7101631164550781,1.3428211212158203,0.0063626766204833984,0.00026488304138183594,1.0
165.0,1423.0,1152.0,222.0,0.972972972972973,0.701857328414917,1.1525704860687256,0.006722927093505859,0.0003056526184082031,1.0
180.0,1423.0,1048.0,255.0,0.9686274509803922,0.7217361927032471,0.9319784641265869,0.004589557647705078,0.0002446174621582031,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1423,1065,381,0.9816272965879265,0.7098686695098877,0.9429078102111816,0.0046808719635009766,0.00026297569274902344,1
1.5,1423,2484,319,0.9686520376175548,0.7126576900482178,1.4641172885894775,0.011430740356445312,0.00028705596923828125,1
2.0,1423,3431,344,0.9476744186046512,0.7133533954620361,1.971656322479248,0.01586151123046875,0.00028705596923828125,1
2.5,1423,3980,345,0.9420289855072463,0.7364752292633057,2.4628663063049316,0.017714738845825195,0.000301361083984375,1
3.0,1423,2518,313,0.9584664536741214,0.7150888442993164,2.5142531394958496,0.012034177780151367,0.00029850006103515625,1
3.5,1423,3009,318,0.9559748427672956,0.7280590534210205,3.342477798461914,0.01592230796813965,0.0004649162292480469,1
4.0,1423,3405,339,0.9410029498525073,0.6795303821563721,3.7141387462615967,0.015187263488769531,0.0002887248992919922,1
4.5,1423,3660,330,0.9454545454545454,0.6923542022705078,4.466350078582764,0.016397953033447266,0.0002713203430175781,1
5.0,1423,2051,346,0.976878612716763,0.6922259330749512,4.545109748840332,0.013388395309448242,0.0003657341003417969,1
