Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,946.0,1108.0,284.0,0.8838028169014085,0.3654797077178955,2.1632630825042725,0.003437042236328125,0.00033092498779296875,1.0
15.0,946.0,1148.0,222.0,0.8513513513513513,0.351215124130249,0.6228606700897217,0.0033249855041503906,0.00024628639221191406,1.0
30.0,946.0,1059.0,213.0,0.8544600938967136,0.35506701469421387,0.6150951385498047,0.0034279823303222656,0.0003428459167480469,1.0
45.0,946.0,1116.0,221.0,0.832579185520362,0.3559234142303467,0.6693446636199951,0.003571033477783203,0.00026106834411621094,1.0
60.0,946.0,1070.0,211.0,0.8672985781990521,0.3403129577636719,0.660226583480835,0.0032134056091308594,0.00024437904357910156,1.0
75.0,946.0,1175.0,227.0,0.8414096916299559,0.3341093063354492,0.5801842212677002,0.004099845886230469,0.00025272369384765625,1.0
90.0,946.0,1087.0,273.0,0.8901098901098901,0.354015588760376,0.45971035957336426,0.003221750259399414,0.00024580955505371094,1.0
105.0,946.0,1140.0,223.0,0.852017937219731,0.34238457679748535,0.5965046882629395,0.0034422874450683594,0.0003223419189453125,1.0
120.0,946.0,1052.0,210.0,0.8666666666666667,0.34528589248657227,0.640427827835083,0.003345489501953125,0.00030684471130371094,1.0
135.0,946.0,1092.0,214.0,0.8411214953271028,0.3434176445007324,0.6538448333740234,0.0032188892364501953,0.0002455711364746094,1.0
150.0,946.0,1087.0,209.0,0.8516746411483254,0.36112141609191895,0.6281247138977051,0.003455638885498047,0.0002429485321044922,1.0
165.0,946.0,1171.0,219.0,0.8538812785388128,0.34824395179748535,0.5803744792938232,0.0034253597259521484,0.0002646446228027344,1.0
180.0,946.0,1091.0,269.0,0.8736059479553904,0.3360929489135742,0.45572423934936523,0.0035512447357177734,0.0003376007080078125,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,946,1108,284,0.8838028169014085,0.3465917110443115,0.451845645904541,0.0037713050842285156,0.0002803802490234375,1
1.5,946,3622,274,0.7846715328467153,0.340442419052124,1.41481614112854,0.012267351150512695,0.0003657341003417969,1
2.0,946,7546,287,0.7630662020905923,0.34444236755371094,4.228939771652222,0.025892019271850586,0.0003056526184082031,1
2.5,946,2461,274,0.7737226277372263,0.3378887176513672,1.7098498344421387,0.009055137634277344,0.00031638145446777344,1
3.0,946,3785,270,0.7592592592592593,0.34658360481262207,2.618364095687866,0.012478351593017578,0.0003552436828613281,1
3.5,946,5423,258,0.7325581395348837,0.34099841117858887,4.274396896362305,0.01709723472595215,0.0003857612609863281,1
4.0,946,7684,286,0.7447552447552448,0.34584689140319824,6.2640368938446045,0.02659296989440918,0.00047087669372558594,1
4.5,946,10492,275,0.7163636363636363,0.3496255874633789,8.96439504623413,0.031213998794555664,0.0003986358642578125,1
5.0,946,2541,285,0.7894736842105263,0.34662318229675293,4.850775718688965,0.007616758346557617,0.0003085136413574219,1
