Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1553.0,1833.0,313.0,0.7348242811501597,0.02988886833190918,1.647737741470337,0.005228519439697266,0.00038504600524902344,1.0
15.0,1553.0,2404.0,130.0,0.3384615384615385,0.029774188995361328,0.06718230247497559,0.00696110725402832,0.0035409927368164062,1.0
30.0,1553.0,1644.0,94.0,0.32978723404255317,0.029636621475219727,0.06189608573913574,0.00434422492980957,0.0038499832153320312,1.0
45.0,1553.0,1665.0,118.0,0.22033898305084745,0.028743982315063477,0.06236100196838379,0.004374504089355469,0.01917576789855957,1.0
60.0,1553.0,1655.0,83.0,0.30120481927710846,0.028994321823120117,0.06524991989135742,0.0043485164642333984,0.005983591079711914,-1.0
75.0,1553.0,2488.0,135.0,0.3925925925925926,0.029201745986938477,0.06174755096435547,0.006508350372314453,0.001916646957397461,1.0
90.0,1553.0,1824.0,314.0,0.7420382165605095,0.031796932220458984,0.04850459098815918,0.00504755973815918,0.0003504753112792969,1.0
105.0,1553.0,2404.0,125.0,0.32,0.031744956970214844,0.058367013931274414,0.010166168212890625,0.00442814826965332,1.0
120.0,1553.0,1642.0,96.0,0.3333333333333333,0.03031301498413086,0.06146955490112305,0.0051119327545166016,0.003669261932373047,1.0
135.0,1553.0,1678.0,114.0,0.23684210526315788,0.026332616806030273,0.05603742599487305,0.004454612731933594,0.016227245330810547,1.0
150.0,1553.0,1657.0,82.0,0.3170731707317073,0.030672073364257812,0.06256985664367676,0.005320310592651367,0.0048220157623291016,1.0
165.0,1553.0,2489.0,137.0,0.40145985401459855,0.03280377388000488,0.061182498931884766,0.007704019546508789,0.0017905235290527344,1.0
180.0,1553.0,1829.0,338.0,0.757396449704142,0.030009984970092773,0.04563117027282715,0.0058078765869140625,0.0003211498260498047,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1553,1833,313,0.7348242811501597,0.029824256896972656,0.055040597915649414,0.005362749099731445,0.00035452842712402344,1
1.5,1553,2460,172,0.4186046511627907,0.029888391494750977,0.0952463150024414,0.006940603256225586,0.001562356948852539,1
2.0,1553,3465,248,0.4798387096774194,0.027880191802978516,0.15221023559570312,0.010310173034667969,0.0016541481018066406,1
2.5,1553,4884,266,0.37218045112781956,0.028998374938964844,0.22661805152893066,0.014917850494384766,0.0025310516357421875,1
3.0,1553,5663,235,0.31063829787234043,0.025951147079467773,0.26656436920166016,0.015580177307128906,0.005421638488769531,1
3.5,1553,6826,231,0.31601731601731603,0.026236772537231445,0.34009718894958496,0.020166873931884766,0.00488591194152832,1
4.0,1553,8416,333,0.4144144144144144,0.03079509735107422,0.4596068859100342,0.025050640106201172,0.001661062240600586,1
4.5,1553,10411,291,0.27491408934707906,0.026286602020263672,0.5527112483978271,0.02874755859375,0.009495973587036133,1
5.0,1553,12262,299,0.26421404682274247,0.03149557113647461,0.6751744747161865,0.0345766544342041,0.010535717010498047,1
